,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
139,AL191995,ROXANNE,19951011,200.0,L,HU,20.0N,87.6W,100.0,958.0,,,,,,,,,,,,,1995,10,11,ROXANNE,1995,10,0,0
140,AL211995,TANYA,19951029,1200.0,,HU,30.5N,54.9W,65.0,983.0,,,,,,,,,,,,,1995,10,29,TANYA,1995,10,0,0
141,AL021996,BERTHA,19960712,2000.0,L,HU,34.3N,77.8W,90.0,974.0,,,,,,,,,,,,,1996,7,12,BERTHA,1996,7,10,1
142,AL031996,CESAR,19960728,400.0,L,HU,12.2N,83.9W,75.0,985.0,,,,,,,,,,,,,1996,7,28,CESAR,1996,7,0,0
143,AL041996,DOLLY,19960820,1730.0,L,HU,19.1N,87.7W,65.0,999.0,,,,,,,,,,,,,1996,8,20,DOLLY,1996,8,0,1
144,AL051996,EDOUARD,19960823,1200.0,,HU,13.9N,38.3W,65.0,988.0,,,,,,,,,,,,,1996,8,23,EDOUARD,1996,8,2,1
145,AL061996,FRAN,19960906,30.0,L,HU,33.9N,78.0W,100.0,954.0,,,,,,,,,,,,,1996,9,6,FRAN,1996,8,22,1
146,AL081996,HORTENSE,19960910,600.0,L,HU,18.0N,66.9W,70.0,989.0,,,,,,,,,,,,,1996,9,10,HORTENSE,1996,9,18,1
147,AL091996,ISIDORE,19960926,600.0,,HU,11.7N,34.2W,70.0,984.0,,,,,,,,,,,,,1996,9,26,ISIDORE,1996,9,0,0
148,AL121996,LILI,19961018,930.0,L,HU,22.3N,82.0W,85.0,975.0,,,,,,,,,,,,,1996,10,18,LILI,1996,10,1,1
149,AL131996,MARCO,19961120,600.0,,HU,13.8N,78.5W,65.0,983.0,,,,,,,,,,,,,1996,11,20,MARCO,1996,11,0,1
150,AL031997,BILL,19970712,1200.0,,HU,37.9N,61.1W,65.0,987.0,,,,,,,,,,,,,1997,7,12,BILL,1997,7,0,0
151,AL051997,DANNY,19970718,900.0,L,HU,29.3N,89.7W,65.0,989.0,,,,,,,,,,,,,1997,7,18,DANNY,1997,7,9,1
152,AL071997,ERIKA,19970904,1800.0,,HU,15.2N,53.7W,65.0,999.0,,,,,,,,,,,,,1997,9,4,ERIKA,1997,9,0,1
153,AL021998,BONNIE,19980827,400.0,L,HU,34.4N,77.7W,95.0,964.0,,,,,,,,,,,,,1998,8,27,BONNIE,1998,8,5,1
154,AL041998,DANIELLE,19980825,1200.0,,HU,16.2N,43.3W,65.0,990.0,,,,,,,,,,,,,1998,8,25,DANIELLE,1998,8,0,1
155,AL051998,EARL,19980903,600.0,L,HU,30.1N,85.7W,70.0,987.0,,,,,,,,,,,,,1998,9,3,EARL,1998,9,3,1
156,AL071998,GEORGES,19980921,430.0,L,HU,17.0N,61.7W,100.0,966.0,,,,,,,,,,,,,1998,9,21,GEORGES,1998,9,1,1
157,AL091998,IVAN,19980923,1800.0,,HU,29.6N,40.2W,65.0,987.0,,,,,,,,,,,,,1998,9,23,IVAN,1998,9,0,0
158,AL101998,JEANNE,19980922,1800.0,,HU,13.1N,25.2W,65.0,987.0,,,,,,,,,,,,,1998,9,22,JEANNE,1998,9,0,0
159,AL111998,KARL,19980925,1200.0,,HU,30.4N,54.0W,65.0,987.0,,,,,,,,,,,,,1998,9,25,KARL,1998,9,0,1
